Sentiment,Content
negative,Disappointed again.
negative,I'm done with this.
positive,I’m feeling great today.
tricky,Oh yay. Another problem to fix.
positive,This is perfect.
tricky,My favorite: unexpected bugs.
tricky,"Wow, thanks a lot... 😒"
neutral,Sending the email now.
tricky,Awesome... another delay.
neutral,It is what it is.
negative,Worst day ever.
tricky,What a fantastic disaster!
positive,This made my day!
tricky,Perfect. As usual. 👏
tricky,"Sure, because that always works out."
neutral,Going to the store.
tricky,Love that for me 🙄
negative,Thanks for nothing.
negative,I hate everything about this.
positive,I absolutely love this.
positive,So proud of you!
negative,Absolutely terrible.
neutral,Water boils at 100°C.
negative,Why does this always happen?
neutral,Just finished reading.
tricky,Love that for me 🙄
neutral,I'll be back later.
negative,This is a total disaster.
tricky,My favorite: unexpected bugs.
positive,Can't stop smiling!
negative,This sucks.
neutral,Sun rises in the east.
tricky,Perfect. As usual. 👏
tricky,Can't wait to deal with this mess.
tricky,Can't wait to deal with this mess.
positive,Everything is going amazing.
positive,"Yay, I got the job!"
negative,This made me cry (not the good way).
neutral,It's Wednesday.
neutral,It's just a normal day.
positive,You are wonderful.
positive,What a beautiful surprise!
tricky,"Sure, because that always works out."
negative,Ruined everything.
neutral,The meeting is at 10am.
neutral,I had cereal for breakfast.
tricky,Lovely weather... for a flood.
tricky,What a fantastic disaster!
positive,Love this energy!
negative,So annoying.
tricky,Lovely weather... for a flood.
tricky,Oh yay. Another problem to fix.
tricky,Yeah... great. Just what I needed.
positive,Couldn't be happier.
tricky,Cool. So fun. Totally not sarcastic.
neutral,My phone is charging.
